ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
0.133,0.016,0.076,0.094
0.127,0.013,0.073,0.09
0.124,0.014,0.072,0.087
0.133,0.015,0.077,0.095
0.127,0.015,0.073,0.091
0.137,0.016,0.078,0.097
0.132,0.016,0.076,0.093
0.124,0.014,0.071,0.089
0.13,0.014,0.075,0.09
0.13,0.013,0.073,0.092
0.127,0.014,0.072,0.088
0.134,0.014,0.076,0.093
0.133,0.016,0.076,0.094
0.129,0.014,0.075,0.092
0.13,0.015,0.074,0.09
0.128,0.014,0.074,0.091
0.132,0.016,0.077,0.095
0.128,0.015,0.073,0.091
0.127,0.015,0.075,0.089
0.125,0.016,0.072,0.089
0.128,0.014,0.073,0.091
0.128,0.015,0.074,0.091
0.128,0.015,0.075,0.091
0.124,0.014,0.073,0.088
0.131,0.015,0.074,0.091
0.137,0.015,0.079,0.096
0.127,0.015,0.073,0.09
0.129,0.014,0.073,0.09
0.127,0.015,0.074,0.089
0.134,0.017,0.078,0.096
0.128,0.015,0.073,0.089
0.13,0.014,0.075,0.091
0.129,0.015,0.072,0.092
0.13,0.015,0.073,0.093
0.133,0.015,0.077,0.094
0.131,0.015,0.076,0.092
0.128,0.014,0.074,0.089
0.127,0.014,0.074,0.09
0.134,0.015,0.076,0.095
0.126,0.014,0.072,0.089
0.129,0.015,0.074,0.091
0.128,0.015,0.075,0.089
0.135,0.016,0.077,0.093
0.129,0.015,0.073,0.091
0.126,0.015,0.074,0.09
0.132,0.014,0.075,0.093
0.126,0.015,0.072,0.089
0.13,0.015,0.076,0.091
0.129,0.014,0.072,0.092
0.131,0.014,0.075,0.094
0.128,0.015,0.074,0.091
0.128,0.015,0.074,0.091
0.134,0.016,0.078,0.096
0.13,0.014,0.075,0.094
0.133,0.014,0.076,0.094
0.134,0.014,0.075,0.096
0.131,0.015,0.076,0.093
0.125,0.014,0.073,0.09
0.128,0.015,0.073,0.09
0.132,0.016,0.077,0.092
0.135,0.015,0.077,0.095
0.128,0.015,0.074,0.092
0.132,0.016,0.075,0.092
0.129,0.015,0.075,0.092
0.133,0.016,0.077,0.094
0.128,0.015,0.075,0.091
0.135,0.015,0.076,0.095
0.132,0.014,0.077,0.094
0.126,0.014,0.072,0.088
0.132,0.016,0.076,0.093
0.125,0.014,0.073,0.088
0.125,0.015,0.072,0.088
0.126,0.014,0.073,0.091
0.129,0.015,0.073,0.09
0.126,0.015,0.073,0.089
0.133,0.015,0.077,0.094
0.13,0.015,0.076,0.092
0.126,0.014,0.074,0.09
0.13,0.015,0.073,0.09
0.125,0.014,0.072,0.088
0.124,0.014,0.072,0.089
0.132,0.016,0.076,0.093
0.132,0.015,0.076,0.092
0.133,0.016,0.077,0.093
0.133,0.015,0.076,0.094
0.132,0.016,0.074,0.092
0.125,0.016,0.07,0.088
0.126,0.014,0.072,0.088
0.128,0.015,0.074,0.093
0.123,0.015,0.07,0.087
0.125,0.014,0.072,0.088
0.128,0.014,0.076,0.091
0.126,0.015,0.072,0.088
0.13,0.015,0.075,0.09
0.124,0.016,0.074,0.091
0.124,0.014,0.074,0.091
0.121,0.013,0.071,0.087
0.132,0.015,0.076,0.093
0.131,0.015,0.075,0.093
0.13,0.015,0.074,0.091
