ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
0.12,0.013,0.07,0.089
0.12,0.014,0.071,0.089
0.125,0.014,0.073,0.091
0.121,0.014,0.07,0.089
0.122,0.013,0.071,0.089
0.122,0.015,0.07,0.088
0.122,0.014,0.071,0.09
0.122,0.013,0.07,0.088
0.121,0.013,0.07,0.089
0.123,0.014,0.071,0.09
0.121,0.014,0.071,0.089
0.12,0.014,0.069,0.09
0.122,0.013,0.071,0.089
0.119,0.014,0.068,0.087
0.122,0.014,0.07,0.089
0.124,0.014,0.07,0.091
0.122,0.013,0.071,0.088
0.122,0.014,0.07,0.089
0.121,0.014,0.069,0.089
0.124,0.015,0.071,0.09
0.122,0.013,0.071,0.09
0.122,0.014,0.07,0.088
0.122,0.014,0.071,0.089
0.124,0.014,0.072,0.091
0.123,0.015,0.072,0.09
0.122,0.014,0.07,0.089
0.12,0.014,0.069,0.086
0.12,0.014,0.069,0.09
0.122,0.014,0.07,0.092
0.12,0.013,0.068,0.089
0.123,0.014,0.071,0.091
0.123,0.013,0.07,0.088
0.121,0.013,0.07,0.09
0.122,0.014,0.071,0.089
0.123,0.014,0.071,0.09
0.121,0.014,0.071,0.089
0.123,0.014,0.071,0.088
0.121,0.014,0.07,0.088
0.122,0.014,0.071,0.091
0.122,0.015,0.071,0.091
0.118,0.013,0.071,0.086
0.123,0.013,0.071,0.089
0.122,0.013,0.07,0.091
0.123,0.014,0.071,0.09
0.126,0.014,0.071,0.091
0.122,0.014,0.07,0.09
0.123,0.014,0.072,0.089
0.123,0.014,0.071,0.09
0.121,0.013,0.069,0.09
0.122,0.014,0.07,0.088
0.121,0.013,0.069,0.089
0.123,0.014,0.07,0.089
0.121,0.013,0.071,0.09
0.12,0.014,0.071,0.088
0.123,0.013,0.071,0.091
0.122,0.013,0.07,0.089
0.123,0.014,0.07,0.09
0.119,0.013,0.071,0.088
0.123,0.014,0.071,0.091
0.122,0.014,0.071,0.09
0.123,0.014,0.072,0.09
0.121,0.015,0.07,0.089
0.123,0.013,0.071,0.089
0.123,0.014,0.07,0.092
0.12,0.014,0.07,0.088
0.123,0.015,0.071,0.091
0.125,0.014,0.072,0.091
0.124,0.015,0.071,0.09
0.122,0.013,0.071,0.088
0.123,0.014,0.072,0.089
0.121,0.014,0.07,0.089
0.123,0.015,0.071,0.089
0.121,0.013,0.07,0.09
0.121,0.014,0.069,0.089
0.122,0.013,0.071,0.09
0.121,0.014,0.069,0.089
0.123,0.013,0.071,0.089
0.122,0.013,0.07,0.089
0.122,0.013,0.071,0.089
0.121,0.014,0.07,0.089
0.121,0.014,0.07,0.089
0.125,0.015,0.072,0.091
0.123,0.014,0.07,0.091
0.121,0.014,0.069,0.089
0.121,0.013,0.07,0.088
0.123,0.014,0.071,0.091
0.119,0.013,0.07,0.087
0.123,0.013,0.071,0.091
0.122,0.013,0.07,0.088
0.12,0.014,0.069,0.09
0.121,0.014,0.07,0.089
0.122,0.014,0.07,0.089
0.122,0.014,0.07,0.088
0.123,0.014,0.07,0.09
0.122,0.014,0.071,0.091
0.118,0.014,0.068,0.086
0.121,0.013,0.07,0.089
0.122,0.014,0.07,0.088
0.12,0.013,0.069,0.088
0.123,0.014,0.07,0.09
