ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
0.132,0.015,0.075,0.093
0.129,0.016,0.074,0.094
0.129,0.015,0.074,0.094
0.129,0.016,0.074,0.092
0.129,0.017,0.074,0.092
0.126,0.014,0.072,0.09
0.128,0.016,0.073,0.093
0.13,0.017,0.075,0.094
0.133,0.016,0.075,0.096
0.13,0.014,0.075,0.091
0.131,0.016,0.074,0.094
0.128,0.013,0.071,0.092
0.133,0.016,0.075,0.093
0.13,0.016,0.075,0.094
0.129,0.015,0.073,0.092
0.127,0.016,0.074,0.09
0.128,0.014,0.072,0.091
0.127,0.016,0.072,0.091
0.129,0.015,0.074,0.092
0.127,0.015,0.074,0.092
0.13,0.014,0.074,0.093
0.128,0.014,0.071,0.09
0.13,0.015,0.074,0.093
0.129,0.015,0.072,0.092
0.126,0.012,0.071,0.089
0.131,0.014,0.075,0.094
0.13,0.016,0.074,0.092
0.131,0.015,0.074,0.094
0.129,0.016,0.073,0.095
0.129,0.015,0.072,0.091
0.128,0.015,0.073,0.091
0.121,0.014,0.07,0.087
0.129,0.015,0.073,0.093
0.126,0.015,0.073,0.09
0.131,0.014,0.074,0.094
0.128,0.015,0.073,0.091
0.132,0.017,0.076,0.095
0.133,0.016,0.075,0.094
0.131,0.015,0.074,0.095
0.129,0.016,0.073,0.092
0.129,0.016,0.072,0.092
0.128,0.016,0.073,0.091
0.13,0.016,0.074,0.092
0.129,0.015,0.072,0.093
0.133,0.016,0.076,0.094
0.127,0.016,0.073,0.093
0.13,0.014,0.074,0.093
0.129,0.013,0.072,0.092
0.132,0.015,0.074,0.093
0.13,0.015,0.073,0.093
0.127,0.016,0.073,0.092
0.129,0.014,0.073,0.092
0.128,0.016,0.073,0.091
0.131,0.017,0.073,0.094
0.131,0.015,0.074,0.094
0.132,0.017,0.076,0.094
0.13,0.015,0.074,0.093
0.131,0.015,0.072,0.093
0.128,0.015,0.072,0.092
0.128,0.016,0.073,0.093
0.129,0.015,0.074,0.092
0.13,0.016,0.074,0.093
0.131,0.016,0.075,0.095
0.13,0.015,0.075,0.093
0.133,0.015,0.074,0.095
0.13,0.015,0.074,0.092
0.129,0.013,0.072,0.091
0.13,0.016,0.073,0.092
0.129,0.015,0.073,0.092
0.134,0.016,0.074,0.095
0.132,0.016,0.073,0.093
0.131,0.016,0.074,0.091
0.13,0.015,0.074,0.092
0.13,0.016,0.074,0.092
0.131,0.016,0.075,0.094
0.124,0.012,0.069,0.088
0.134,0.015,0.075,0.096
0.13,0.017,0.075,0.093
0.128,0.014,0.074,0.092
0.128,0.016,0.073,0.09
0.128,0.015,0.073,0.093
0.127,0.015,0.074,0.092
0.129,0.015,0.075,0.092
0.13,0.014,0.074,0.092
0.135,0.017,0.076,0.097
0.127,0.014,0.073,0.091
0.128,0.015,0.073,0.091
0.13,0.015,0.073,0.092
0.127,0.015,0.071,0.09
0.127,0.015,0.073,0.092
0.131,0.017,0.075,0.093
0.129,0.014,0.073,0.09
0.131,0.015,0.075,0.093
0.13,0.014,0.074,0.092
0.13,0.016,0.075,0.094
0.123,0.015,0.071,0.088
0.129,0.015,0.074,0.092
0.131,0.016,0.074,0.094
0.128,0.014,0.072,0.091
0.129,0.015,0.074,0.092
